Pair of consecutive graphs,Node,Type,Residual value
g0_g1,22,black_hole,102
g0_g1,192,black_hole,78
g0_g1,97,black_hole,70
g0_g1,78,black_hole,57
g0_g1,85,black_hole,52
g0_g1,24,normal,45
g0_g1,163,normal,39
g0_g1,130,normal,38
g0_g1,195,normal,29
g0_g1,140,normal,27
g1_g2,91,black_hole,88
g1_g2,162,black_hole,87
g1_g2,22,normal,26
g1_g2,111,black_hole,25
g1_g2,7,black_hole,25
g1_g2,37,normal,23
g1_g2,98,normal,21
g1_g2,52,normal,15
g1_g2,15,normal,13
g1_g2,195,normal,13
g2_g3,186,black_hole,124
g2_g3,131,black_hole,75
g2_g3,150,black_hole,66
g2_g3,22,black_hole,53
g2_g3,58,normal,32
g2_g3,24,normal,27
g2_g3,31,normal,26
g2_g3,46,normal,22
g2_g3,36,normal,20
g2_g3,117,normal,19
