Measure,g0_g1,signal g0_g1,g1_g2,signal g1_g2,g2_g3,signal g2_g3
degree,0.03828395709892747,Negligible,0.06437260931523289,Negligible,0.1783754593864847,Negligible
strength,0.24090602265056632,Weak,0.3154668866721668,Weak,0.25079426985674647,Weak
betweenness,0.05632490812270307,Negligible,-0.02698417460436511,Negative,0.09175429385734644,Negative
closeness,0.27347933698342464,Weak,0.03364884122103053,Negligible,0.11963399084977125,Negligible
eigenvector,0.18208055201380038,Weak,0.1711482787069677,Weak,0.26485712142803575,Weak
pagerank,0.08825020625515638,Negligible,0.23633840846021156,Weak,0.0876426910672767,Weak
hits_hubs,0.23440036000900027,Weak,0.1406030150753769,Weak,0.0006705167629190731,Weak
hits_authorities,0.23123078076951928,Weak,0.18031950798769972,Weak,0.2332678316957924,Weak
indegree,0.14132303307582691,Weak,0.14445661141528543,Weak,0.15487587189679747,Weak
outdegree,0.21241731043276085,Weak,0.2239120978024451,Weak,0.10887572189304734,Weak
instrength,0.1980439510987775,Weak,0.22691367284182107,Weak,0.2312247806195155,Weak
outstrength,0.2860736518412961,Weak,0.414887872196805,Moderate,0.350132753318833,Moderate
